单位：平方公里,,,,,,,,
行政单位,年份,耕地,园地,林地,草地,城镇村,交通运输用地,水域及水利设施用地
呼伦贝尔市,2016,0.077448046,0.000143861,0.556739508,0.333576768,0.007137048,0.004470323,0.020484447
巴彦淖尔市,2009,0.126297691,0.000827199,0.028796067,0.769762916,0.016244217,0.006629643,0.051442267
巴彦淖尔市,2010,0.126110229,0.00082707,0.028755614,0.769259274,0.016769208,0.006844366,0.051434239
巴彦淖尔市,2011,0.126410845,0.000814721,0.028708995,0.768662114,0.017122447,0.00686573,0.051415149
巴彦淖尔市,2012,0.126754607,0.000826427,0.028673408,0.768085671,0.01734292,0.006934797,0.051382171
巴彦淖尔市,2013,0.126896554,0.000826258,0.028667567,0.767773487,0.017483085,0.007005233,0.051347816
巴彦淖尔市,2014,0.127962534,0.000825487,0.028616948,0.76661432,0.017598489,0.007094344,0.051287877
巴彦淖尔市,2015,0.128272342,0.000825171,0.028605999,0.766225379,0.017723245,0.007127507,0.051220357
巴彦淖尔市,2016,0.12900612,0.000812803,0.028569666,0.765334008,0.017882915,0.007232026,0.051162462
乌兰察布市,2009,0.172556614,0.000226618,0.139810378,0.646753845,0.017172512,0.006899183,0.016580851
乌兰察布市,2010,0.172468546,0.000226617,0.139734786,0.646564753,0.017424428,0.007000025,0.016580845
乌兰察布市,2011,0.172273585,0.000226626,0.139626777,0.646375324,0.017752376,0.007176492,0.016568821
乌兰察布市,2012,0.171786007,0.000226597,0.139483403,0.646570806,0.018064918,0.007314,0.016554268
乌兰察布市,2013,0.171536803,0.000226618,0.139319347,0.646124293,0.018582636,0.007667226,0.016543078
乌兰察布市,2014,0.171566418,0.000226623,0.139146647,0.645712393,0.018935691,0.007881388,0.016530841
乌兰察布市,2015,0.171404851,0.000226626,0.139060212,0.645544361,0.019238098,0.007994801,0.01653105
乌兰察布市,2016,0.171310597,0.000226635,0.138952095,0.645316748,0.019540997,0.008133725,0.016519203
兴安盟,2009,0.23470751,0.000715069,0.317303107,0.402648031,0.017862865,0.008321211,0.018442207
兴安盟,2010,0.234677003,0.000702663,0.317529645,0.402354549,0.017985765,0.008345601,0.018404774
兴安盟,2011,0.234460204,0.000702715,0.317540683,0.402211702,0.018295177,0.008370996,0.018418522
兴安盟,2012,0.234181647,0.000702767,0.317502589,0.402044126,0.018654202,0.008470188,0.018444481
